Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,533,535,517.6,525,35566
2024-01-03,521.8,530.4,518.2,527.8,34393
2024-01-04,518.2,528,506,527,34140
2024-01-05,519,528.8,511.4,525.6,22462
2024-01-08,528.4,539,511.2,537,20724
2024-01-09,538.2,542,531.2,531.2,17372
2024-01-10,533,543.4,531,531.2,29962
2024-01-11,533.6,537.8,514.4,514.4,35751
2024-01-12,515.4,527.8,514.2,526.6,15925
2024-01-15,527,530.8,507.8,512.8,12658
2024-01-16,504.4,512,497.9,510.2,21283
2024-01-17,510,510,490.2,493.2,29288
2024-01-18,490,497.1,488.8,493.7,18694
2024-01-19,497.5,502,492.3,499.3,20105
2024-01-22,505.4,511.4,501.2,502,19503
2024-01-23,507.4,507.4,488.1,494.5,15555
2024-01-24,498.3,507,492.2,498.1,34306
2024-01-25,498.1,499.7,489.5,498.2,22323
2024-01-26,495.4,508.2,490.7,506.8,11472
2024-01-29,507,508.2,495.2,503.4,13729
2024-01-30,507,526.6,501.8,523.6,88591
2024-01-31,521.2,538,519,534.2,37848
2024-02-01,534,553.8,525.4,543,23406
2024-02-02,550,561,545,559.2,24474
2024-02-05,558.8,572,555,555,34884
2024-02-06,558.4,568.6,546,554.8,24318
2024-02-07,554.6,568,552.2,563,28087
2024-02-08,560,569.6,529.6,551.6,60505
2024-02-09,554,554,538.8,546.4,20595
2024-02-12,554,569.6,544.8,564.8,25995
2024-02-13,562,578.2,562,570.6,39929
2024-02-14,565.2,596.4,565.2,595.8,45334
2024-02-15,596.2,622.4,589.4,615,46298
2024-02-16,615,634.4,615,629.4,24997
2024-02-19,630,642.4,624.4,640,25678
2024-02-20,639.8,659.4,626.6,652.8,38463
2024-02-21,652.8,671,649.6,658.8,48255
2024-02-22,669.8,672.8,658.4,665,22525
2024-02-23,662,692,662,683,31471
2024-02-26,685,696.6,670.8,674.4,25958
2024-02-27,677.6,693,661,669,28857
2024-02-28,669,674.8,659.2,664.8,20482
2024-02-29,665.2,695,665.2,695,74298
2024-03-01,699.8,706.6,681,687,27400
2024-03-04,690,695,672.2,679.8,15808
2024-03-05,679.6,686.8,670.8,672.4,14742
2024-03-06,672.4,682,658.8,671.6,31329
2024-03-07,662.8,674.4,662.8,667.2,29309
2024-03-08,667.2,691.4,663.6,688,63052
2024-03-11,685,695,681.2,692.4,23446
2024-03-12,698.4,730.2,697.8,724,54133
2024-03-13,725.8,735,713.8,715,32367
2024-03-14,718.2,724.2,665,714.8,35395
2024-03-15,714.6,745,692,723.8,146743
2024-03-18,727.6,736.6,710.8,725,34791
2024-03-19,724.4,725.8,687.2,710.8,45931
2024-03-20,710.8,710.8,691.6,709,27080
2024-03-21,712.4,739.2,708.8,736,32166
2024-03-22,736,748,730.2,737,21420
2024-03-25,735,737,720.6,726.2,13217
2024-03-26,725,756.8,723,750,31471
2024-03-27,755,755,738,743,19258
2024-03-28,745,751,727.6,740.2,53159
2024-04-02,744,750.8,725.8,734,24028
2024-04-03,739.2,742,718.8,731.2,31386
2024-04-04,733.4,737.8,721.6,731.6,18939
2024-04-05,720,741.2,713.4,741,36209
2024-04-08,742,753.8,735.8,740,23480
2024-04-09,740,741,698.8,707,42651
2024-04-10,710,724.6,700.4,711.8,37560
2024-04-11,711.6,715.8,689.4,695.4,15469
2024-04-12,695.4,707.8,684,687.2,21060
2024-04-15,690,698,679.6,683.8,13844
2024-04-16,678,684.8,666,670.6,22858
2024-04-17,667.6,684.2,654.4,683,32943
2024-04-18,682,691.6,664,682.4,26800
2024-04-19,674.4,682,666,679.2,29668
2024-04-22,678.2,696,678.2,691,9640
2024-04-23,691,708.4,683.8,690.8,15631
2024-04-24,699.4,699.6,670,671,15007
2024-04-25,674.6,676.6,666,671.8,10888
2024-04-26,674,683,671.6,678,11963
2024-04-29,682,684.6,670.8,684.4,14459
2024-04-30,683.2,692.4,677,685.8,23957
2024-05-02,682.8,699.6,682.2,686.2,19410
2024-05-06,688.8,706,682.2,705,49260
2024-05-07,705,713.6,694.2,698.4,27172
2024-05-08,711,711,688.4,696.2,16919
2024-05-09,700.6,703.6,691.2,695.4,18432
2024-05-10,690,695,636.8,660,56318
2024-05-13,660,664.8,645.2,653.6,25925
2024-05-14,655,661.8,642.6,658.4,17813
2024-05-15,654.4,663.6,642.6,657,33424
2024-05-16,657,668,647,647.4,25147
