Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,8.35,8.39,7.9,8.1,1031298
2024-01-03,8.125,8.2,7.955,8.085,1557225
2024-01-04,8.16,8.3,8.06,8.3,1579730
2024-01-05,8.285,8.3,8.08,8.3,790270
2024-01-08,8.3,8.725,8.18,8.69,1033107
2024-01-09,8.72,8.72,8.365,8.42,1466173
2024-01-10,8.405,8.405,8.2,8.38,1146909
2024-01-11,8.3,8.395,8.065,8.1,834297
2024-01-12,8.13,8.285,8.095,8.205,861325
2024-01-15,8.15,8.18,8.09,8.11,1741759
2024-01-16,8.09,8.25,8.07,8.25,1406603
2024-01-17,8.19,8.19,7.8,7.87,2407805
2024-01-18,7.92,8.15,7.92,7.98,459589
2024-01-19,7.985,8.095,7.895,7.94,261431
2024-01-22,7.98,8.07,7.98,8.045,134768
2024-01-23,8.005,8.005,7.8,7.82,677105
2024-01-24,7.835,7.96,7.815,7.82,870661
2024-01-25,7.9,7.9,7.665,7.7,752874
2024-01-26,7.72,7.825,7.68,7.79,1311982
2024-01-29,7.86,7.89,7.73,7.75,313381
2024-01-30,7.9,8.1,7.805,7.995,1271829
2024-01-31,8.035,8.45,8.035,8.41,1025760
2024-02-01,8.38,8.68,8.275,8.45,957022
2024-02-02,8.455,8.67,8.455,8.58,714779
2024-02-05,8.6,8.775,8.34,8.45,670815
2024-02-06,8.5,8.7,8.41,8.52,801007
2024-02-07,8.68,8.68,8.43,8.485,629351
2024-02-08,8.43,8.655,8.32,8.64,705325
2024-02-09,8.64,8.64,8.4,8.4,341224
2024-02-12,8.42,8.45,8.23,8.4,256020
2024-02-13,8.41,8.605,8.255,8.5,514305
2024-02-14,8.4,9,8.4,8.995,1090026
2024-02-15,8.95,9.07,8.8,9.07,939933
2024-02-16,9.05,9.385,9.05,9.26,1117031
2024-02-19,9.295,9.45,9.26,9.375,524930
2024-02-20,9.38,9.645,9.3,9.59,609189
2024-02-21,9.59,9.665,9.43,9.52,1026781
2024-02-22,9.53,9.79,9.53,9.75,867020
2024-02-23,9.75,9.85,9.32,9.7,2163927
2024-02-26,9.615,10.24,9.615,10.04,1334651
2024-02-27,10.1,10.29,9.87,10.13,759227
2024-02-28,10.13,10.34,9.78,9.94,1247593
2024-02-29,9.82,10.26,9.82,9.995,2969705
2024-03-01,10.02,10.19,9.855,10,417759
2024-03-04,10.1,10.15,9.805,9.85,572759
2024-03-05,9.81,9.92,9.625,9.81,1143897
2024-03-06,9.81,9.99,9.81,9.865,772541
2024-03-07,9.95,9.95,9.595,9.725,924012
2024-03-08,9.7,9.855,9.63,9.85,579526
2024-03-11,9.73,9.92,9.665,9.9,463015
